 ,20230401,20230402,20230403,20230404,20230405,20230406,20230407,20230408,20230409,20230410,20230411,20230412,20230413,20230414,20230415,20230416,20230417,20230418,20230419,20230420,20230421,20230422,20230423,20230424,20230425,20230426,20230427,20230428,20230429,20230430,20230501,20230502,20230503,20230504,20230505,20230506,20230507,20230508,20230509,20230510,20230511,20230512,20230513,20230514,20230515,20230516,20230517,20230518,20230519,20230520,20230521,20230522,20230523,20230524,20230525,20230526,20230527,20230528,20230529,20230530,20230531,20230601,20230602,20230603,20230604,20230605,20230606,20230607,20230608,20230609,20230610,20230611,
shdqzy.com,256,6983,37903,243,5678,250,279,308,591,41749,726,7452,573,573,570,573,38758,339,7723,341,386,343,330,39356,422,7744,492,406,345,405,39543,353,7593,347,357,345,13653,23729,336,7785,354,2251,316,324,34053,237,5529,340,334,347,9315,25322,5543,2251,331,2281,351,337,33314,361,5575,405,356,326,12245,34169,347,7519,402,430,2169,443,
zumvu.com,863,389,280,285,841,836,427,809,601,579,501,826,250,718,1030,479,560,284,279,516,556,646,595,798225,1125925,1434600,885470,715812,198025,284175,2441,429,448,387,453,464,463,407,432,437,458,548,479,429,509,396,409,383,284,310,334,334,429,363,366,338,456,313,396,453,525,388,533,501,441,370,509,454,524,816,779,681,
jwit.org.cn,201,25169,37182,2806,1594,28158,265,2738,46260,9569,2073,29816,581,604,28618,20551,1573,26428,270,12516,26517,3592,30552,27716,354,1948,33703,318,289,60115,7695,3277,32081,1182,3689,31608,35261,6860,27404,2905,2268,31555,1492,30167,28708,8322,708,2734,29626,665,40501,31594,1171,2040,27996,721,5123,47107,14293,2886,30407,3081,817,2296,462,12064,20508,493,10135,24036,1053,17391,
cqgyjsxy.com,15958,7603,1520,1058,1039,1657,1983,12977,1655,1798,931,3243,1741,891,1614,12707,517,1758,3530,13964,1490,1287,15382,2840,2595,1955,3101,963,533,21242,618,1528,1515,991,1325,11214,2713,2794,2739,1880,1840,3214,12048,10844,4102,1468,1149,947,1316,14968,25246,2828,1265,710,2797,2303,1983,16492,750,5195,763,664,677,2721,834,593,16512,5519,717,1127,4198,599,
fdxdcsyxx.com,20214,19716,17573,17135,18101,17082,18320,18491,20045,17017,22085,20826,19841,18061,22271,18489,20177,16253,16283,17952,15689,19310,23168,25661,26847,19034,15229,18481,11708,26817,2618,117,93,2004,2691,205,2045,165,5894,2288,19717,18462,21296,18928,16745,13576,14970,18985,15781,16090,15420,13770,18420,18133,15753,13026,14910,17179,15508,15199,4718,148,121,94,98,140,109,115,4386,2016,112,171,
amcmj.com,7236,9312,20036,23108,13725,23945,25882,21612,8587,27237,25723,30564,32958,27223,29917,7879,29658,32751,25484,46843,34164,28957,14628,26946,32792,36524,32263,27866,16771,18037,2994,3062,14534,23282,27174,27396,7837,23828,25585,20643,16913,17229,16916,9082,17873,20999,19726,22272,17564,15388,8157,18223,19987,17391,19060,16556,15083,7475,15604,13660,12193,7539,9594,12314,10668,17126,18735,18745,18466,22703,18684,11187,
vera.com.uy,3775,3972,5193,7769,16832,5046,8454,7844,9963,6224,4822,8837,4251,2510,9832,7175,68540,5296,3821,5026,3381,2593,2243,2199,1700,1828,2415,2655,4557,10301,1922,1747,2057,1934,2343,3801,2233,2928,2828,6457,3343,7016,6688,4421,3677,5374,3730,2726,2130,2428,2265,2136,2624,2535,4209,1825,2112,2308,1967,2134,2577,3021,2050,2485,2352,1672,2714,3436,3292,3028,2231,2074,
autowww.cn,3,0,0,0,2,93,5839,8131,9150,11095,7965,6163,6988,6321,8254,7944,7419,8038,12632,14718,21337,4123,4831,4543,27700,5072,4125,4201,5468,24213,4428,4404,6011,3901,4027,4941,21798,3238,22191,4221,5580,9141,17229,22716,24116,23759,19967,24102,41650,38391,39808,39362,62583,18156,19491,14802,17634,10012,15443,14951,15750,17648,16291,16398,17374,14592,21746,17290,18563,23752,28916,22122,
njxszx.com,4365,28306,11282,4793,7546,5854,4536,5590,25178,7204,3924,996,225,526,2516,17947,1431,2145,113,13265,6182,4562,23259,1344,2736,2810,2405,493,101,32082,5295,789,977,882,659,563,1762,2740,520,558,4211,2349,574,534,470,474,611,666,213,332,634,2212,1134,1493,5127,2604,157,4537,736,3088,2188,732,531,594,538,227,2922,456,299,379,643,2287,
